rr_id,project_id,families_eligible,families_rehabilitated,families_pending,site_readiness_percentage,grant_disbursed_cr
RR-NL-0847,LG-NL-0847,381,346,35,91.1,121.93
RR-OD-0848,LG-OD-0848,2949,1434,1515,48.7,50.69
RR-PB-0849,LG-PB-0849,365,125,240,34.3,39.94
RR-RJ-0850,LG-RJ-0850,266,219,47,82.5,53.74
RR-SK-0851,LG-SK-0851,245,175,70,71.8,23.93
RR-TN-0852,LG-TN-0852,368,285,83,77.6,59.47
RR-TS-0853,LG-TS-0853,154,131,23,85.7,19.09
RR-TR-0854,LG-TR-0854,1395,1180,215,84.6,176.08
RR-UP-0855,LG-UP-0855,966,754,212,78.1,199.07
RR-UK-0856,LG-UK-0856,187,121,66,65.0,10.98
RR-WB-0857,LG-WB-0857,1191,497,694,41.8,123.83
RR-AN-0858,LG-AN-0858,918,793,125,86.4,258.18
RR-CH-0859,LG-CH-0859,2167,1881,286,86.8,331.77
RR-DH-0860,LG-DH-0860,1657,730,927,44.1,73.52
RR-DL-0861,LG-DL-0861,928,905,23,97.6,84.56
RR-JK-0862,LG-JK-0862,1065,1057,8,99.3,58.65
RR-LA-0863,LG-LA-0863,643,362,281,56.3,23.48
RR-LD-0864,LG-LD-0864,838,127,711,15.2,14.36
RR-PY-0865,LG-PY-0865,2098,1451,647,69.2,207.17
RR-AP-0866,LG-AP-0866,2245,1424,821,63.4,135.55
RR-AR-0867,LG-AR-0867,1502,1425,77,94.9,141.44
RR-AS-0868,LG-AS-0868,741,331,410,44.8,118.0
RR-BR-0869,LG-BR-0869,546,419,127,76.9,65.37
RR-CG-0870,LG-CG-0870,1821,1302,519,71.5,107.57
RR-GA-0871,LG-GA-0871,291,213,78,73.3,64.26
RR-GJ-0872,LG-GJ-0872,644,476,168,73.9,76.41
RR-HR-0873,LG-HR-0873,617,247,370,40.1,81.38
RR-HP-0874,LG-HP-0874,1375,1312,63,95.5,99.82
RR-JH-0875,LG-JH-0875,874,519,355,59.5,134.41
RR-KA-0876,LG-KA-0876,1085,576,509,53.1,97.62
RR-KL-0877,LG-KL-0877,1044,398,646,38.2,44.32
RR-MP-0878,LG-MP-0878,769,744,25,96.8,136.37
RR-MH-0879,LG-MH-0879,904,823,81,91.1,119.79
RR-MN-0880,LG-MN-0880,709,108,601,15.4,8.45
RR-ML-0881,LG-ML-0881,290,148,142,51.2,36.66
RR-MZ-0882,LG-MZ-0882,1986,768,1218,38.7,32.39
RR-NL-0883,LG-NL-0883,1009,921,88,91.3,111.75
RR-OD-0884,LG-OD-0884,652,467,185,71.8,119.44
RR-PB-0885,LG-PB-0885,411,163,248,39.7,14.59
RR-RJ-0886,LG-RJ-0886,2006,811,1195,40.4,144.21
RR-SK-0887,LG-SK-0887,444,287,157,64.7,16.64
RR-TN-0888,LG-TN-0888,1757,1270,487,72.3,68.53
RR-TS-0889,LG-TS-0889,220,204,16,92.8,72.27
RR-TR-0890,LG-TR-0890,622,312,310,50.2,43.29
RR-UP-0891,LG-UP-0891,391,319,72,81.8,43.16
RR-UK-0892,LG-UK-0892,877,643,234,73.4,90.26
RR-WB-0893,LG-WB-0893,482,126,356,26.2,37.65
RR-AN-0894,LG-AN-0894,422,68,354,16.2,13.48
RR-CH-0895,LG-CH-0895,939,882,57,94.0,134.91
RR-DH-0896,LG-DH-0896,477,420,57,88.1,35.57
RR-DL-0897,LG-DL-0897,740,341,399,46.1,17.04
RR-JK-0898,LG-JK-0898,291,275,16,94.8,42.2
RR-LA-0899,LG-LA-0899,413,382,31,92.7,88.62
RR-LD-0900,LG-LD-0900,323,256,67,79.4,40.26
RR-PY-0901,LG-PY-0901,2040,1668,372,81.8,166.81
RR-AP-0902,LG-AP-0902,682,640,42,94.0,116.24
RR-AR-0903,LG-AR-0903,2119,1300,819,61.4,67.49
RR-AS-0904,LG-AS-0904,385,336,49,87.3,56.26
RR-BR-0905,LG-BR-0905,2757,2047,710,74.3,169.56
RR-CG-0906,LG-CG-0906,764,495,269,64.8,202.98
RR-GA-0907,LG-GA-0907,2337,1363,974,58.3,121.99
RR-GJ-0908,LG-GJ-0908,619,470,149,76.0,36.81
RR-HR-0909,LG-HR-0909,698,221,477,31.7,60.77
RR-HP-0910,LG-HP-0910,2225,1608,617,72.3,249.34
RR-JH-0911,LG-JH-0911,1843,1411,432,76.6,185.98
RR-KA-0912,LG-KA-0912,605,318,287,52.7,23.44
RR-KL-0913,LG-KL-0913,1544,1314,230,85.1,194.78
RR-MP-0914,LG-MP-0914,21,8,13,38.2,2.27
RR-MH-0915,LG-MH-0915,1013,313,700,30.9,17.05
RR-MN-0916,LG-MN-0916,100,79,21,79.4,11.59
RR-ML-0917,LG-ML-0917,145,96,49,66.4,40.21
RR-MZ-0918,LG-MZ-0918,1364,1179,185,86.5,178.47
RR-NL-0919,LG-NL-0919,91,69,22,76.2,10.52
RR-OD-0920,LG-OD-0920,514,197,317,38.4,31.54
RR-PB-0921,LG-PB-0921,593,425,168,71.7,65.87
RR-RJ-0922,LG-RJ-0922,712,433,279,60.8,32.83
RR-SK-0923,LG-SK-0923,2280,1194,1086,52.4,87.48
RR-TN-0924,LG-TN-0924,309,122,187,39.5,29.81
RR-TS-0925,LG-TS-0925,1664,492,1172,29.6,69.7
RR-TR-0926,LG-TR-0926,2245,967,1278,43.1,111.15
RR-UP-0927,LG-UP-0927,1350,855,495,63.4,141.78
RR-UK-0928,LG-UK-0928,561,326,235,58.2,34.75
RR-WB-0929,LG-WB-0929,136,116,20,85.5,20.52
RR-AN-0930,LG-AN-0930,2172,1624,548,74.8,282.3
RR-CH-0931,LG-CH-0931,1236,961,275,77.8,47.09
RR-DH-0932,LG-DH-0932,1543,1174,369,76.1,224.78
RR-DL-0933,LG-DL-0933,735,640,95,87.1,103.66
RR-JK-0934,LG-JK-0934,402,248,154,61.8,21.35
RR-LA-0935,LG-LA-0935,2120,1000,1120,47.2,87.13
RR-LD-0936,LG-LD-0936,1873,1038,835,55.4,48.25
RR-PY-0937,LG-PY-0937,1164,569,595,48.9,88.57
RR-AP-0938,LG-AP-0938,1261,1157,104,91.8,345.91
RR-AR-0939,LG-AR-0939,743,603,140,81.3,65.42
RR-AS-0940,LG-AS-0940,474,187,287,39.6,20.39
RR-BR-0941,LG-BR-0941,1124,528,596,47.0,120.91
RR-CG-0942,LG-CG-0942,975,870,105,89.3,92.99
RR-GA-0943,LG-GA-0943,134,109,25,81.7,34.27
RR-GJ-0944,LG-GJ-0944,742,569,173,76.8,71.04
RR-HR-0945,LG-HR-0945,61,18,43,30.3,6.74
RR-HP-0946,LG-HP-0946,114,91,23,80.6,12.53
RR-JH-0947,LG-JH-0947,160,140,20,87.6,19.66
RR-KA-0948,LG-KA-0948,333,132,201,39.8,16.13
RR-KL-0949,LG-KL-0949,1293,155,1138,12.0,13.1
RR-MP-0950,LG-MP-0950,702,141,561,20.1,8.18
RR-MH-0951,LG-MH-0951,1007,669,338,66.5,160.09
RR-MN-0952,LG-MN-0952,1522,1242,280,81.7,186.25
RR-ML-0953,LG-ML-0953,1738,1236,502,71.1,207.42
RR-MZ-0954,LG-MZ-0954,1712,1341,371,78.3,221.19
RR-NL-0955,LG-NL-0955,546,206,340,37.8,94.39
RR-OD-0956,LG-OD-0956,267,146,121,54.9,19.98
RR-PB-0957,LG-PB-0957,1214,1189,25,98.0,137.29
RR-RJ-0958,LG-RJ-0958,281,168,113,59.9,56.37
RR-SK-0959,LG-SK-0959,247,226,21,91.7,30.33
RR-TN-0960,LG-TN-0960,115,96,19,84.3,35.95
RR-TS-0961,LG-TS-0961,926,903,23,97.5,70.17
RR-TR-0962,LG-TR-0962,271,260,11,96.2,47.34
RR-UP-0963,LG-UP-0963,49,32,17,67.3,11.32
RR-UK-0964,LG-UK-0964,303,89,214,29.4,13.32
RR-WB-0965,LG-WB-0965,486,407,79,83.8,197.64
RR-AN-0966,LG-AN-0966,1680,1434,246,85.4,225.89
RR-CH-0967,LG-CH-0967,832,518,314,62.4,30.91
RR-DH-0968,LG-DH-0968,1761,1384,377,78.6,104.5
RR-DL-0969,LG-DL-0969,975,323,652,33.2,53.88
RR-JK-0970,LG-JK-0970,863,615,248,71.3,121.58
RR-LA-0971,LG-LA-0971,839,526,313,62.8,140.59
RR-LD-0972,LG-LD-0972,916,321,595,35.1,23.07
RR-PY-0973,LG-PY-0973,859,313,546,36.5,24.85
RR-AP-0974,LG-AP-0974,333,295,38,88.9,31.63
RR-AR-0975,LG-AR-0975,1435,771,664,53.8,85.12
RR-AS-0976,LG-AS-0976,1284,817,467,63.7,115.06
RR-BR-0977,LG-BR-0977,1504,1244,260,82.7,244.4
RR-CG-0978,LG-CG-0978,78,36,42,46.3,6.32
RR-GA-0979,LG-GA-0979,425,380,45,89.6,161.05
RR-GJ-0980,LG-GJ-0980,541,333,208,61.7,137.85
RR-HR-0981,LG-HR-0981,648,514,134,79.4,139.41
RR-HP-0982,LG-HP-0982,58,51,7,88.9,21.15
RR-JH-0983,LG-JH-0983,1495,1073,422,71.8,282.63
RR-KA-0984,LG-KA-0984,1122,530,592,47.3,27.73
RR-KL-0985,LG-KL-0985,1125,1110,15,98.7,44.9
RR-MP-0986,LG-MP-0986,567,362,205,63.9,83.63
RR-MH-0987,LG-MH-0987,2140,1723,417,80.5,167.3
RR-MN-0988,LG-MN-0988,766,246,520,32.2,15.07
RR-ML-0989,LG-ML-0989,694,468,226,67.5,77.98
RR-MZ-0990,LG-MZ-0990,448,380,68,84.8,62.23
RR-NL-0991,LG-NL-0991,476,417,59,87.6,47.29
RR-OD-0992,LG-OD-0992,484,131,353,27.1,29.96
RR-PB-0993,LG-PB-0993,1022,724,298,70.9,40.25
RR-RJ-0994,LG-RJ-0994,1350,850,500,63.0,105.57
RR-SK-0995,LG-SK-0995,906,821,85,90.7,60.86
RR-TN-0996,LG-TN-0996,1654,995,659,60.2,75.98
RR-TS-0997,LG-TS-0997,947,499,448,52.7,214.82
RR-TR-0998,LG-TR-0998,464,273,191,58.9,15.41
RR-UP-0999,LG-UP-0999,1152,1084,68,94.2,215.27
RR-UK-1000,LG-UK-1000,1631,1013,618,62.2,63.5
RR-WB-1001,LG-WB-1001,328,232,96,70.8,11.41
RR-AN-1002,LG-AN-1002,235,211,24,89.9,9.96
RR-CH-1003,LG-CH-1003,94,71,23,76.2,24.51
RR-DH-1004,LG-DH-1004,797,563,234,70.7,150.47
RR-DL-1005,LG-DL-1005,2054,543,1511,26.5,83.43
RR-JK-1006,LG-JK-1006,1683,1564,119,93.0,77.54
RR-LA-1007,LG-LA-1007,1599,1330,269,83.2,250.62
RR-LD-1008,LG-LD-1008,613,424,189,69.3,169.38
RR-PY-1009,LG-PY-1009,616,464,152,75.5,67.47
RR-AP-1010,LG-AP-1010,1572,1169,403,74.4,190.95
RR-AR-1011,LG-AR-1011,36,22,14,63.4,5.12
RR-AS-1012,LG-AS-1012,96,39,57,41.5,1.48
RR-BR-1013,LG-BR-1013,904,865,39,95.8,156.09
RR-CG-1014,LG-CG-1014,1771,862,909,48.7,178.37
RR-GA-1015,LG-GA-1015,406,164,242,40.5,66.02
RR-GJ-1016,LG-GJ-1016,817,473,344,57.9,109.98
RR-HR-1017,LG-HR-1017,464,306,158,66.0,80.3
RR-HP-1018,LG-HP-1018,1621,1385,236,85.5,136.68
RR-JH-1019,LG-JH-1019,1345,1069,276,79.5,154.56
RR-KA-1020,LG-KA-1020,1564,1202,362,76.9,201.8
RR-KL-1021,LG-KL-1021,1309,300,1009,22.9,18.4
RR-MP-1022,LG-MP-1022,2137,553,1584,25.9,41.98
RR-MH-1023,LG-MH-1023,1414,879,535,62.2,64.01
RR-MN-1024,LG-MN-1024,1851,918,933,49.6,102.14
RR-ML-1025,LG-ML-1025,648,591,57,91.3,170.51
RR-MZ-1026,LG-MZ-1026,46,27,19,60.2,3.8
RR-NL-1027,LG-NL-1027,1133,512,621,45.2,63.69
RR-OD-1028,LG-OD-1028,162,100,62,62.0,15.68
RR-PB-1029,LG-PB-1029,628,595,33,94.8,65.54
RR-RJ-1030,LG-RJ-1030,2712,1683,1029,62.1,147.94
RR-SK-1031,LG-SK-1031,655,582,73,88.9,116.85
RR-TN-1032,LG-TN-1032,1584,1357,227,85.7,126.53
RR-TS-1033,LG-TS-1033,273,184,89,67.5,49.07
RR-TR-1034,LG-TR-1034,1148,1129,19,98.4,331.71
RR-UP-1035,LG-UP-1035,1509,1235,274,81.9,149.17
RR-UK-1036,LG-UK-1036,1558,1437,121,92.3,217.92
RR-WB-1037,LG-WB-1037,888,604,284,68.1,70.46
RR-AN-1038,LG-AN-1038,764,378,386,49.5,82.8
RR-CH-1039,LG-CH-1039,1025,938,87,91.6,89.02
RR-DH-1040,LG-DH-1040,1931,1115,816,57.8,150.86
RR-DL-1041,LG-DL-1041,2411,2119,292,87.9,103.95
RR-JK-1042,LG-JK-1042,2289,1997,292,87.2,215.93
RR-LA-1043,LG-LA-1043,369,305,64,82.7,58.96
RR-LD-1044,LG-LD-1044,1341,572,769,42.7,101.94
RR-PY-1045,LG-PY-1045,909,666,243,73.4,115.0
RR-AP-1046,LG-AP-1046,1620,772,848,47.7,163.23
RR-AR-1047,LG-AR-1047,732,319,413,43.7,95.26
RR-AS-1048,LG-AS-1048,1771,1301,470,73.5,110.58
RR-BR-1049,LG-BR-1049,251,191,60,76.4,33.71
RR-CG-1050,LG-CG-1050,502,421,81,84.0,111.75
RR-GA-1051,LG-GA-1051,907,702,205,77.4,114.82
RR-GJ-1052,LG-GJ-1052,640,333,307,52.2,44.88
RR-HR-1053,LG-HR-1053,601,468,133,78.0,141.94
RR-HP-1054,LG-HP-1054,2619,1871,748,71.5,98.79
RR-JH-1055,LG-JH-1055,892,866,26,97.2,231.32
RR-KA-1056,LG-KA-1056,929,880,49,94.8,139.0
RR-KL-1057,LG-KL-1057,2333,1514,819,64.9,115.89
RR-MP-1058,LG-MP-1058,1583,423,1160,26.7,40.62
RR-MH-1059,LG-MH-1059,231,164,67,71.4,21.6
RR-MN-1060,LG-MN-1060,574,188,386,32.9,20.84
RR-ML-1061,LG-ML-1061,202,115,87,57.2,14.82
RR-MZ-1062,LG-MZ-1062,933,469,464,50.4,101.01
RR-NL-1063,LG-NL-1063,27,17,10,63.5,3.99
RR-OD-1064,LG-OD-1064,643,267,376,41.6,17.46
RR-PB-1065,LG-PB-1065,874,89,785,10.3,6.72
RR-RJ-1066,LG-RJ-1066,1294,1240,54,95.9,144.94
RR-SK-1067,LG-SK-1067,863,488,375,56.7,98.92
RR-TN-1068,LG-TN-1068,362,45,317,12.5,9.63
RR-TS-1069,LG-TS-1069,661,450,211,68.1,202.16
RR-TR-1070,LG-TR-1070,286,211,75,73.8,52.02
RR-UP-1071,LG-UP-1071,805,336,469,41.8,56.06
RR-UK-1072,LG-UK-1072,1236,1214,22,98.3,125.32
RR-WB-1073,LG-WB-1073,1030,352,678,34.2,43.69
RR-AN-1074,LG-AN-1074,124,75,49,60.7,4.73
RR-CH-1075,LG-CH-1075,1969,1513,456,76.9,205.43
RR-DH-1076,LG-DH-1076,631,498,133,79.0,140.74
RR-DL-1077,LG-DL-1077,1061,600,461,56.6,58.14
RR-JK-1078,LG-JK-1078,2006,1811,195,90.3,89.63
RR-LA-1079,LG-LA-1079,2339,2309,30,98.8,365.96
RR-LD-1080,LG-LD-1080,1571,1075,496,68.5,275.0
RR-PY-1081,LG-PY-1081,719,392,327,54.6,148.8
RR-AP-1082,LG-AP-1082,715,565,150,79.1,57.76
RR-AR-1083,LG-AR-1083,1058,183,875,17.4,29.1
RR-AS-1084,LG-AS-1084,287,214,73,74.8,35.23
RR-BR-1085,LG-BR-1085,1482,889,593,60.1,95.38
RR-CG-1086,LG-CG-1086,164,115,49,70.3,17.2
RR-GA-1087,LG-GA-1087,981,197,784,20.1,25.1
RR-GJ-1088,LG-GJ-1088,472,420,52,89.1,87.81
RR-HR-1089,LG-HR-1089,337,233,104,69.4,79.64
RR-HP-1090,LG-HP-1090,1073,778,295,72.6,225.44
RR-JH-1091,LG-JH-1091,795,794,1,99.9,71.34
RR-KA-1092,LG-KA-1092,1005,360,645,35.8,65.08
RR-KL-1093,LG-KL-1093,1037,267,770,25.8,19.65
RR-MP-1094,LG-MP-1094,568,437,131,77.0,145.0
RR-MH-1095,LG-MH-1095,2074,816,1258,39.4,80.34
RR-MN-1096,LG-MN-1096,110,105,5,96.1,17.04
RR-ML-1097,LG-ML-1097,2088,1470,618,70.4,277.58
RR-MZ-1098,LG-MZ-1098,1317,586,731,44.6,40.92
RR-NL-1099,LG-NL-1099,225,119,106,53.3,16.42
RR-OD-1100,LG-OD-1100,624,569,55,91.2,268.58
RR-PB-1101,LG-PB-1101,466,429,37,92.2,74.78
RR-RJ-1102,LG-RJ-1102,708,621,87,87.8,236.85
RR-SK-1103,LG-SK-1103,313,120,193,38.5,38.71
RR-TN-1104,LG-TN-1104,650,393,257,60.5,40.36
RR-TS-1105,LG-TS-1105,1411,154,1257,11.0,31.09
RR-TR-1106,LG-TR-1106,1661,1151,510,69.3,90.44
RR-UP-1107,LG-UP-1107,324,65,259,20.2,17.19
RR-UK-1108,LG-UK-1108,59,33,26,57.2,5.9
RR-WB-1109,LG-WB-1109,385,137,248,35.6,32.07
RR-AN-1110,LG-AN-1110,165,118,47,71.9,22.59
RR-CH-1111,LG-CH-1111,2329,1531,798,65.7,88.19
RR-DH-1112,LG-DH-1112,1690,1123,567,66.5,125.86
RR-DL-1113,LG-DL-1113,551,348,203,63.3,34.91
RR-JK-1114,LG-JK-1114,449,362,87,80.7,79.12
RR-LA-1115,LG-LA-1115,557,436,121,78.3,63.52
RR-LD-1116,LG-LD-1116,326,138,188,42.4,22.34
RR-PY-1117,LG-PY-1117,519,401,118,77.4,80.2
RR-AP-1118,LG-AP-1118,959,668,291,69.7,33.3
RR-AR-1119,LG-AR-1119,49,41,8,84.5,5.74
RR-AS-1120,LG-AS-1120,2358,1572,786,66.7,234.78
RR-BR-1121,LG-BR-1121,431,386,45,89.6,74.27
RR-CG-1122,LG-CG-1122,735,425,310,57.9,95.86
RR-GA-1123,LG-GA-1123,444,328,116,73.9,143.04
RR-GJ-1124,LG-GJ-1124,2081,1772,309,85.2,141.38
RR-HR-1125,LG-HR-1125,900,683,217,75.9,192.68
RR-HP-1126,LG-HP-1126,323,213,110,66.0,35.72
RR-JH-1127,LG-JH-1127,1292,927,365,71.7,207.75
RR-KA-1128,LG-KA-1128,745,611,134,82.0,46.07
RR-KL-1129,LG-KL-1129,308,304,4,98.9,61.44
RR-MP-1130,LG-MP-1130,369,364,5,98.8,61.19
RR-MH-1131,LG-MH-1131,1696,1076,620,63.5,132.15
RR-MN-1132,LG-MN-1132,264,184,80,70.0,17.74
RR-ML-1133,LG-ML-1133,2269,1605,664,70.8,86.03
RR-MZ-1134,LG-MZ-1134,795,553,242,69.6,72.57
RR-NL-1135,LG-NL-1135,71,67,4,95.2,12.11
RR-OD-1136,LG-OD-1136,992,611,381,61.7,69.04
RR-PB-1137,LG-PB-1137,644,448,196,69.6,60.46
RR-RJ-1138,LG-RJ-1138,917,658,259,71.8,90.09
RR-SK-1139,LG-SK-1139,83,71,12,86.3,5.22
RR-TN-1140,LG-TN-1140,689,597,92,86.7,98.65
RR-TS-1141,LG-TS-1141,1322,1276,46,96.5,304.8
RR-TR-1142,LG-TR-1142,241,148,93,61.7,28.64
RR-UP-1143,LG-UP-1143,188,138,50,73.9,27.49
RR-UK-1144,LG-UK-1144,2154,529,1625,24.6,63.12
RR-WB-1145,LG-WB-1145,2833,381,2452,13.5,17.19
RR-AN-1146,LG-AN-1146,264,225,39,85.4,28.02
RR-CH-1147,LG-CH-1147,590,400,190,67.9,79.19
RR-DH-1148,LG-DH-1148,223,222,1,99.9,28.71
RR-DL-1149,LG-DL-1149,1305,622,683,47.7,65.21
RR-JK-1150,LG-JK-1150,2349,1657,692,70.6,175.85
RR-LA-1151,LG-LA-1151,306,263,43,86.1,34.73
RR-LD-1152,LG-LD-1152,194,78,116,40.4,12.4
RR-PY-1153,LG-PY-1153,1108,856,252,77.3,207.95
RR-AP-1154,LG-AP-1154,372,232,140,62.4,62.74
RR-AR-1155,LG-AR-1155,100,65,35,65.0,7.16
RR-AS-1156,LG-AS-1156,717,397,320,55.4,35.7
RR-BR-1157,LG-BR-1157,773,362,411,47.0,96.61
RR-CG-1158,LG-CG-1158,2458,2235,223,90.9,269.15
RR-GA-1159,LG-GA-1159,289,266,23,92.2,52.93
RR-GJ-1160,LG-GJ-1160,1041,484,557,46.5,68.41
RR-HR-1161,LG-HR-1161,1844,1115,729,60.5,64.45
RR-HP-1162,LG-HP-1162,1524,1510,14,99.1,91.4
RR-JH-1163,LG-JH-1163,961,480,481,50.0,91.94
RR-KA-1164,LG-KA-1164,1712,1082,630,63.2,169.43
RR-KL-1165,LG-KL-1165,1898,760,1138,40.1,69.43
RR-MP-1166,LG-MP-1166,592,300,292,50.7,107.84
RR-MH-1167,LG-MH-1167,744,631,113,84.8,103.32
RR-MN-1168,LG-MN-1168,1723,656,1067,38.1,32.81
RR-ML-1169,LG-ML-1169,1535,1329,206,86.6,154.61
RR-MZ-1170,LG-MZ-1170,104,64,40,62.4,27.37
RR-NL-1171,LG-NL-1171,706,196,510,27.9,29.46
RR-OD-1172,LG-OD-1172,55,53,2,97.8,16.28
RR-PB-1173,LG-PB-1173,1702,933,769,54.8,114.05
RR-RJ-1174,LG-RJ-1174,1376,670,706,48.7,92.73
RR-SK-1175,LG-SK-1175,52,27,25,53.0,3.6
RR-TN-1176,LG-TN-1176,1037,969,68,93.5,149.47
RR-TS-1177,LG-TS-1177,607,459,148,75.6,155.13
RR-TR-1178,LG-TR-1178,380,165,215,43.5,49.5
RR-UP-1179,LG-UP-1179,1271,447,824,35.2,34.36
RR-UK-1180,LG-UK-1180,490,419,71,85.7,96.48
RR-WB-1181,LG-WB-1181,363,294,69,81.1,89.12
RR-AN-1182,LG-AN-1182,880,777,103,88.4,38.41
RR-CH-1183,LG-CH-1183,1170,914,256,78.1,146.58
RR-DH-1184,LG-DH-1184,205,160,45,78.5,11.67
RR-DL-1185,LG-DL-1185,659,240,419,36.6,56.76
RR-JK-1186,LG-JK-1186,779,609,170,78.2,159.16
RR-LA-1187,LG-LA-1187,41,36,5,88.9,9.51
RR-LD-1188,LG-LD-1188,448,165,283,37.0,42.0
RR-PY-1189,LG-PY-1189,2566,2409,157,93.9,279.03
RR-AP-1190,LG-AP-1190,340,238,102,70.3,28.35
RR-AR-1191,LG-AR-1191,831,492,339,59.2,56.47
RR-AS-1192,LG-AS-1192,402,376,26,93.6,30.39
RR-BR-1193,LG-BR-1193,342,169,173,49.5,31.9
RR-CG-1194,LG-CG-1194,590,249,341,42.2,82.86
RR-GA-1195,LG-GA-1195,1486,1482,4,99.8,255.18
RR-GJ-1196,LG-GJ-1196,877,853,24,97.4,115.3
RR-HR-1197,LG-HR-1197,882,774,108,87.8,79.71
RR-HP-1198,LG-HP-1198,695,430,265,61.9,52.73
RR-JH-1199,LG-JH-1199,757,316,441,41.9,101.45
RR-KA-1200,LG-KA-1200,521,275,246,53.0,28.65
RR-KL-1201,LG-KL-1201,975,884,91,90.7,116.12
RR-MP-1202,LG-MP-1202,1407,445,962,31.7,81.42
RR-MH-1203,LG-MH-1203,736,302,434,41.1,11.93
RR-MN-1204,LG-MN-1204,2490,1511,979,60.7,141.65
RR-ML-1205,LG-ML-1205,716,662,54,92.5,234.6
RR-MZ-1206,LG-MZ-1206,1196,867,329,72.6,103.87
RR-NL-1207,LG-NL-1207,1409,804,605,57.1,69.82
RR-OD-1208,LG-OD-1208,385,147,238,38.4,21.26
RR-PB-1209,LG-PB-1209,1492,1383,109,92.8,67.12
RR-RJ-1210,LG-RJ-1210,1612,1038,574,64.4,88.78
RR-SK-1211,LG-SK-1211,498,55,443,11.2,12.04
RR-TN-1212,LG-TN-1212,874,633,241,72.5,122.33
RR-TS-1213,LG-TS-1213,1231,1064,167,86.5,216.48
RR-TR-1214,LG-TR-1214,723,319,404,44.1,75.93
RR-UP-1215,LG-UP-1215,1459,394,1065,27.1,77.67
RR-UK-1216,LG-UK-1216,2548,1601,947,62.9,69.03
RR-WB-1217,LG-WB-1217,424,256,168,60.5,37.39
RR-AN-1218,LG-AN-1218,68,57,11,85.0,10.92
RR-CH-1219,LG-CH-1219,812,642,170,79.1,198.4
RR-DH-1220,LG-DH-1220,740,422,318,57.1,45.28
RR-DL-1221,LG-DL-1221,1334,638,696,47.8,62.21
RR-JK-1222,LG-JK-1222,103,100,3,98.0,28.32
RR-LA-1223,LG-LA-1223,1280,1038,242,81.2,84.66
RR-LD-1224,LG-LD-1224,1878,1019,859,54.3,122.88
RR-PY-1225,LG-PY-1225,758,396,362,52.3,56.48
RR-AP-1226,LG-AP-1226,827,752,75,91.0,67.41
RR-AR-1227,LG-AR-1227,1376,1315,61,95.6,127.49
RR-AS-1228,LG-AS-1228,2326,2030,296,87.3,323.99
RR-BR-1229,LG-BR-1229,185,166,19,90.3,32.79
RR-CG-1230,LG-CG-1230,179,96,83,53.7,9.98
RR-GA-1231,LG-GA-1231,485,470,15,97.0,53.98
RR-GJ-1232,LG-GJ-1232,2263,719,1544,31.8,56.31
RR-HR-1233,LG-HR-1233,2026,1841,185,90.9,323.84
RR-HP-1234,LG-HP-1234,674,445,229,66.1,85.45
RR-JH-1235,LG-JH-1235,884,645,239,73.0,166.36
RR-KA-1236,LG-KA-1236,1213,290,923,24.0,27.47
RR-KL-1237,LG-KL-1237,305,222,83,72.8,24.48
RR-MP-1238,LG-MP-1238,1861,1473,388,79.2,193.66
RR-MH-1239,LG-MH-1239,670,559,111,83.4,177.79
RR-MN-1240,LG-MN-1240,411,308,103,75.0,140.65
RR-ML-1241,LG-ML-1241,2415,839,1576,34.8,54.72
RR-MZ-1242,LG-MZ-1242,1243,446,797,35.9,48.77
RR-NL-1243,LG-NL-1243,2474,1061,1413,42.9,88.77
RR-OD-1244,LG-OD-1244,2210,2206,4,99.8,183.0
RR-PB-1245,LG-PB-1245,1968,1287,681,65.4,56.2
RR-RJ-1246,LG-RJ-1246,1804,1333,471,73.9,91.89
RR-SK-1247,LG-SK-1247,1883,1482,401,78.7,194.15
RR-TN-1248,LG-TN-1248,688,638,50,92.8,142.31
RR-TS-1249,LG-TS-1249,829,545,284,65.8,46.64
RR-TR-1250,LG-TR-1250,1309,213,1096,16.3,26.7
